Id,Name,Description,Priority,Status,Start Date,End Date
1,Project A,This is Project A,High,In Progress,2024-03-01,2024-04-30
1.1,Section 1,Section within Project A,Medium,Not Started,2024-03-01,2024-03-15
1.1.1,Task 1.1.1,Task within Section 1,Low,Not Started,2024-03-01,2024-03-05
1.1.2,Task 1.1.2,Another Task within Section 1,Medium,Not Started,2024-03-06,2024-03-10
1.2,Section 2,Another Section within Project A,High,Not Started,2024-03-16,2024-03-31
1.2.1,Task 1.2.1,Task within Section 2,High,Not Started,2024-03-16,2024-03-20
2,Project B,This is Project B,Medium,Not Started,2024-04-01,2024-04-30
2.1,Section 1,Section within Project B,Low,Not Started,2024-04-01,2024-04-15
2.1.1,Task 2.1.1,Task within Section 1,Medium,Not Started,2024-04-01,2024-04-05
2.1.2,Task 2.1.2,Another Task within Section 1,High,Not Started,2024-04-06,2024-04-10
